"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100a4",2.02620451503305e-100,1.92084400089048,0.703,0.33,3.48304556134182e-96
"Qk",2.17366999826931e-100,-1.60713296606612,0.33,0.715,3.73653872702495e-96
"Aif1",2.76497730621862e-100,1.04060085695509,0.956,0.925,4.75299598938981e-96
"Pdgfc",6.20211368757468e-100,-4.90846112701401,0.015,0.303,1.06614334289409e-95
"Sulf2",3.21727446704589e-99,-2.69743638117098,0.09,0.445,5.53049480885189e-95
"Cyb5a",6.88878665081741e-99,-1.34678151562791,0.557,0.845,1.18418242527551e-94
"Plac8",1.1711578696689e-98,2.36864019641652,0.89,0.734,2.01322037796084e-94
"Psma3",1.19657391188364e-98,0.93394767774108,0.946,0.814,2.05691055452797e-94
"Hsp90ab1",6.51036724045891e-98,0.725081946457584,0.995,0.98,1.11913212863489e-93
"Alox5",2.08893244366554e-97,-5.19809487983539,0.008,0.283,3.59087487066107e-93
"Ptgs2",5.10150607846384e-97,4.98055670355227,0.381,0.025,8.76948894887934e-93
"Pink1",4.74643973324878e-96,-2.71901682060436,0.085,0.432,8.15912990145465e-92
"Pros1",2.4520640513166e-95,-3.0998665453678,0.056,0.382,4.21509810421324e-91
"Ly6i",3.6361036900475e-95,6.44767464131501,0.361,0.016,6.25046224319165e-91
"Psmb6",3.78233279922271e-95,1.06909797714415,0.906,0.755,6.50183008186384e-91
"Pilra",9.39370834465207e-95,3.03838520764829,0.47,0.09,1.61477846444569e-90
"Itsn1",2.04790471143017e-94,-2.48710921146035,0.113,0.465,3.52034819894846e-90
"Blvrb",6.98946712827343e-94,-0.825915931752601,0.832,0.98,1.2014893993502e-89
"Gpx3",1.24049000982226e-93,-4.22954391153973,0.028,0.32,2.13240232688446e-89
"mt-Nd2",2.67824317617444e-93,-0.874907987070805,0.909,0.988,4.60390001984386e-89
"C6",6.47712440506728e-93,-8.03330783660162,0.001,0.253,1.11341768523107e-88
"Fcrls",1.43153970452934e-92,-3.07533663095852,0.044,0.355,2.46081675208594e-88
